iso3,year,var,value
AGO,2020,gdp_pc_ppp_current,6450.74994625154
AGO,2020,inflation_cpi_annual_pct,22.271539247051
AGO,2020,ppp_conv_gdp_lcu_per_intl$,146.909133911133
AGO,2020,unemployment_total_pct,16.69
AGO,2021,gdp_pc_ppp_const2021,7408.12659121059
AGO,2021,gdp_pc_ppp_current,7408.12659121059
AGO,2021,inflation_cpi_annual_pct,25.7542948841891
AGO,2021,ppp_conv_gdp_lcu_per_intl$,174.090515136719
AGO,2021,unemployment_total_pct,15.799
AGO,2022,gdp_pc_ppp_const2021,7397.48642731105
AGO,2022,gdp_pc_ppp_current,7924.88880583901
AGO,2022,inflation_cpi_annual_pct,21.3552901320822
AGO,2022,ppp_conv_gdp_lcu_per_intl$,184.785137872931
AGO,2022,unemployment_total_pct,14.602
AGO,2023,gdp_pc_ppp_const2021,7250.40269935241
AGO,2023,gdp_pc_ppp_current,8046.81729875579
AGO,2023,inflation_cpi_annual_pct,13.6441017767715
AGO,2023,ppp_conv_gdp_lcu_per_intl$,209.759608034553
AGO,2023,unemployment_total_pct,14.537
AGO,2024,gdp_pc_ppp_const2021,7344.14537855393
AGO,2024,gdp_pc_ppp_current,8347.95279117055
AGO,2024,inflation_cpi_annual_pct,28.2404948915773
AGO,2024,ppp_conv_gdp_lcu_per_intl$,256.498886900301
AGO,2024,unemployment_total_pct,14.464
ALB,2019,gdp_pc_ppp_const2021,15079.3740526678
ALB,2019,gdp_pc_ppp_current,14792.0308217221
ALB,2019,gini,30.1
ALB,2019,inflation_cpi_annual_pct,1.41109078954247
ALB,2019,ppp_conv_gdp_lcu_per_intl$,40.5510809940788
ALB,2019,unemployment_total_pct,11.466
ALB,2020,gdp_pc_ppp_const2021,14663.6386904016
ALB,2020,gdp_pc_ppp_current,14512.0376833706
ALB,2020,gini,29.4
ALB,2020,inflation_cpi_annual_pct,1.62088661717011
ALB,2020,ppp_conv_gdp_lcu_per_intl$,40.2104093208646
ALB,2020,unemployment_total_pct,11.69
ALB,2021,gdp_pc_ppp_const2021,16127.7048522441
ALB,2021,gdp_pc_ppp_current,16127.7048522441
ALB,2021,inflation_cpi_annual_pct,2.04147163139547
ALB,2021,ppp_conv_gdp_lcu_per_intl$,41.1653761273616
ALB,2021,unemployment_total_pct,11.474
ALB,2022,gdp_pc_ppp_const2021,17112.9379383833
ALB,2022,gdp_pc_ppp_current,19446.2252459573
ALB,2022,inflation_cpi_annual_pct,6.72520271530052
ALB,2022,ppp_conv_gdp_lcu_per_intl$,39.7985458192303
ALB,2022,unemployment_total_pct,10.137
ALB,2023,gdp_pc_ppp_const2021,17992.0507038785
ALB,2023,gdp_pc_ppp_current,21263.1545689521
ALB,2023,inflation_cpi_annual_pct,4.75976421930108
ALB,2023,ppp_conv_gdp_lcu_per_intl$,40.5889030885301
ALB,2023,unemployment_total_pct,10.108
ALB,2024,gdp_pc_ppp_const2021,18920.8942644729
ALB,2024,gdp_pc_ppp_current,23488.0989465081
ALB,2024,inflation_cpi_annual_pct,2.21448953273292
ALB,2024,ppp_conv_gdp_lcu_per_intl$,39.679987740951
ALB,2024,unemployment_total_pct,10.25
AND,2019,gdp_pc_ppp_const2021,63215.899791913
AND,2019,gdp_pc_ppp_current,57475.0692842215
AND,2019,ppp_conv_gdp_lcu_per_intl$,0.64122788740431
AND,2020,gdp_pc_ppp_const2021,55488.4902991095
AND,2020,gdp_pc_ppp_current,52095.8414004627
AND,2020,ppp_conv_gdp_lcu_per_intl$,0.627878780205223
AND,2021,gdp_pc_ppp_const2021,59332.2029100127
AND,2021,gdp_pc_ppp_current,59332.2029100127
AND,2021,ppp_conv_gdp_lcu_per_intl$,0.604573547840118
AND,2022,gdp_pc_ppp_const2021,63913.3835079105
AND,2022,gdp_pc_ppp_current,68470.0759483848
AND,2022,ppp_conv_gdp_lcu_per_intl$,0.588248185019342
AND,2023,gdp_pc_ppp_const2021,64631.2963909271
AND,2023,gdp_pc_ppp_current,71730.668682165
AND,2023,ppp_conv_gdp_lcu_per_intl$,0.603563370465281
AND,2024,gdp_pc_ppp_const2021,65928.3071971004
AND,2024,gdp_pc_ppp_current,74939.4746038578
AND,2024,ppp_conv_gdp_lcu_per_intl$,0.607839175148891
ARB,2019,gdp_pc_ppp_const2021,16697.6362616629
ARB,2019,gdp_pc_ppp_current,15682.9701121946
ARB,2019,inflation_cpi_annual_pct,1.09184802655853
ARB,2019,unemployment_total_pct,10.2160980238311
ARB,2020,gdp_pc_ppp_const2021,15717.5789210241
ARB,2020,gdp_pc_ppp_current,14279.0453787255
ARB,2020,inflation_cpi_annual_pct,1.61222220402458
ARB,2020,unemployment_total_pct,11.3256125416623
ARB,2021,gdp_pc_ppp_const2021,16139.986754568
ARB,2021,gdp_pc_ppp_current,16001.6305710559
